base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max
DESHPDHK0000lce9,V7,2,83229.75073820412,1978.1398023216582,82056.54653209553,85513.62447408741
DESHPDHK0000lce9,V7,1,216766.78090493628,2649.29331265467,215159.72850228843,219824.59013814296
DESHPDHK0000lce9,V7,0,210220.5757436971,2644.1231143601913,208070.431080935,213172.89219633423
DESHPDHK0000lce9,V7,9,116412.751049935,2189.8947904128777,115130.4613444221,118941.33835914654
DESHPDHK0000lce9,V8,11,232389.82413582885,2724.2150061171433,230359.36435190265,235485.7443456787
DESHPDHK0000lce9,V8,12,250051.91856040308,2527.5660091449313,248238.3971965904,252939.06938766743
DESHPDHK0000lce9,V8,13,103585.27494758385,2015.0336661449785,102227.47305877942,105900.52585417844
DESHPDHK0000lce9,V8,17,240395.3442206128,2891.7701792802773,238108.50366890465,243645.92015945716
DESHPDHK0000lce9,V8,15,39782.34632076481,1970.5066833318567,38335.174833908495,42026.51340196418
DESHPDHK0000lce9,V8,16,209818.58354599602,2493.5687138316766,207727.2702320391,212578.20968862763
DESHPDHK0000lce9,V8,10,107529.92366083647,2098.376925644718,105949.85471933974,109910.78254903833
DESHPDHK0000lce9,V8,14,89832.05500913232,1745.5613883649853,88669.42235383451,91839.27404811082
DESHPDHK0000lce9,V8,9,118821.80565800889,2166.3296805874625,117538.90661407787,121322.98952049317
DESHPDHK0000lce9,V8,4,105236.54233274411,1951.982675058464,104094.70591232748,107490.43218724296
DESHPDHK0000lce9,V8,7,97727.50759110467,2670.8248459066567,95775.23923442348,100771.1986743788
DESHPDHK0000lce9,V8,6,108434.7869231812,2146.9888079619154,106757.66314480502,110854.48853279807
DESHPDHK0000lce9,V8,5,99785.71844339588,2150.833661876154,98342.1636257245,102257.69514298187
DESHPDHK0000lce9,V8,3,207108.04273002912,2613.5879300337288,205259.4547377653,210098.2224185849
DESHPDHK0000lce9,V8,2,86726.53894016038,1963.810532313358,85554.98819994563,88993.7284336031
DESHPDHK0000lce9,V8,1,223822.393445453,2569.317446715042,222303.2372836687,226788.89598338457
DESHPDHK0000lce9,V8,0,215729.88492548047,2578.2201436817854,213621.49297460707,218604.30936059076
DESHPDHK0000lce9,V8,18,222055.40945740519,2273.843690934589,220332.2842759448,224632.6336807325
DESHPDHK0000lce9,V8,8,232518.26577906715,2977.2174435249717,230721.4457896642,235954.86452764232
DESHPDHK0000lce9,V8,19,44462.15015945694,2279.546974175042,42706.98672440311,47038.52126789084
