base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_any_zone_gt_26C_mean,overheating_hours_any_zone_gt_26C_std,overheating_hours_any_zone_gt_26C_min,overheating_hours_any_zone_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max
DESHPDHK0000lce9,V2,41,223379.77426685786,2227.8767975293367,221294.1852542681,226044.34647691488,79.14018701171875,0.16955980471755816,78.9020341796875,79.267103515625,62.5,3.1091263510296057,58.0,65.0,6.419768978833421,0.020926647760517808,6.395314201265288,6.440297738423485
DESHPDHK0000lce9,V2,42,223011.11346775398,2121.486254233987,220552.65078684204,225670.7336997381,76.60344165039062,0.16091500514646376,76.3875556640625,76.7332490234375,117.0,9.273618495495704,109.0,126.0,6.952717490534225,0.015126329461369091,6.937217532139287,6.966542942694589
DESHPDHK0000lce9,V2,43,213339.9269475817,2256.3800299874497,210987.23925823628,216055.2260420587,75.62590844726563,0.16732987218111575,75.38558984375,75.75527734375,35.75,9.429563439877091,25.0,48.0,6.146726009358885,0.024169187977879095,6.112064848805033,6.1637833761496745
DESHPDHK0000lce9,V2,45,69282.62883778452,2133.596492568704,66880.71026346409,71708.98265999473,73.39210766601563,0.1346160967674221,73.22219921875,73.5064296875,474.0,30.133038346638727,437.0,509.0,7.588340822848374,0.030246440026913644,7.546963954159636,7.61966222095348
DESHPDHK0000lce9,V2,46,242836.58272264863,2518.9285579547513,240545.25591809745,245873.9865365965,83.99973315429688,0.17051117224157677,83.7589853515625,84.1267509765625,84.75,8.5,73.0,93.0,7.44148728651838,0.03301073010935294,7.404199320463652,7.477309032902167
DESHPDHK0000lce9,V2,47,102975.60115461863,1678.3052040560306,101615.70765160692,105421.69958647796,49.0683154296875,0.437333662197902,48.78901171875,49.71981494140625,2110.25,9.394147114027968,2098.0,2119.0,5.160452589407972,0.07176611196581766,5.091057796454325,5.249839860219253
DESHPDHK0000lce9,V2,48,202181.4894641235,2378.2161676352193,200237.5933530829,205169.27047800535,74.27210620117188,0.17539978643108003,74.029193359375,74.413390625,87.5,11.090536506409418,71.0,95.0,6.343351791933949,0.02913514763978508,6.309689704120849,6.371728460588166
DESHPDHK0000lce9,V2,49,271862.5355293757,2618.52596279711,268991.1972616287,274768.4265660163,88.53956103515625,0.13004686644569327,88.36103125,88.6458994140625,127.0,9.660917830792961,113.0,135.0,8.072118726281216,0.015490757172191146,8.054557999714424,8.08929198131947
DESHPDHK0000lce9,V2,50,87396.6949675274,1685.74669589717,85722.8482358735,89628.22104993892,47.08733972167969,0.6139698663044545,46.54520166015625,47.7025791015625,2277.5,13.203534880225616,2263.0,2295.0,4.05516426792674,0.08387092926712264,3.968437843597069,4.15208550879787
DESHPDHK0000lce9,V2,51,222275.85230616576,2305.4103201711687,220092.1687616252,225086.90699678488,77.969115234375,0.16654949513159245,77.7386943359375,78.10488671875,96.5,16.62327685305558,72.0,109.0,6.375268009369975,0.025977198848839388,6.342185988925309,6.398170062769307
DESHPDHK0000lce9,V2,52,103608.13616962095,1663.7577665338285,102049.71594609196,105844.41127006018,49.70428112792969,0.6127328399760088,49.166451171875,50.28714453125,2139.75,10.21028892833106,2130.0,2150.0,4.069088962303697,0.06382684248555873,4.002145715614881,4.143023909451334
