base_building_group,variant,sample_id,seed,annual_heating_kWh,peak_heating_kW,overheating_hours_any_zone_gt_26C,mean_interzone_spread_C,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_any_zone_gt_26C_mean,overheating_hours_any_zone_gt_26C_std,overheating_hours_any_zone_gt_26C_min,overheating_hours_any_zone_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max
DESHPDHK0000lce9,V2,32,1,75164.20766873384,44.26028076171875,2305.0,3.7140380803641504,75164.20766873384,,75164.20766873384,75164.20766873384,44.26028076171875,,44.26028076171875,44.26028076171875,2305.0,,2305.0,2305.0,3.7140380803641504,,3.7140380803641504,3.7140380803641504
DESHPDHK0000lce9,V2,32,3,72058.13865846115,43.798822265625,2348.0,3.916921573147331,72058.13865846115,,72058.13865846115,72058.13865846115,43.798822265625,,43.798822265625,43.798822265625,2348.0,,2348.0,2348.0,3.916921573147331,,3.916921573147331,3.916921573147331
DESHPDHK0000lce9,V2,32,4,74079.4321950078,44.72712451171875,2391.0,3.7760651502118336,74079.4321950078,,74079.4321950078,74079.4321950078,44.72712451171875,,44.72712451171875,44.72712451171875,2391.0,,2391.0,2391.0,3.7760651502118336,,3.7760651502118336,3.7760651502118336
DESHPDHK0000lce9,V2,34,1,79694.05293626187,45.9024638671875,2330.0,4.031912253390382,79694.05293626187,,79694.05293626187,79694.05293626187,45.9024638671875,,45.9024638671875,45.9024638671875,2330.0,,2330.0,2330.0,4.031912253390382,,4.031912253390382,4.031912253390382
DESHPDHK0000lce9,V2,34,2,76044.36637162179,45.77044873046875,2428.0,4.1673308347352185,76044.36637162179,,76044.36637162179,76044.36637162179,45.77044873046875,,45.77044873046875,45.77044873046875,2428.0,,2428.0,2428.0,4.1673308347352185,,4.1673308347352185,4.1673308347352185
DESHPDHK0000lce9,V2,34,3,76388.92804962039,45.92983056640625,2374.0,4.184469779704399,76388.92804962039,,76388.92804962039,76388.92804962039,45.92983056640625,,45.92983056640625,45.92983056640625,2374.0,,2374.0,2374.0,4.184469779704399,,4.184469779704399,4.184469779704399
DESHPDHK0000lce9,V2,34,4,78853.38437274181,46.83761865234375,2358.0,4.012634371394043,78853.38437274181,,78853.38437274181,78853.38437274181,46.83761865234375,,46.83761865234375,46.83761865234375,2358.0,,2358.0,2358.0,4.012634371394043,,4.012634371394043,4.012634371394043
DESHPDHK0000lce9,V2,35,1,37935.486144557806,31.85339990234375,2423.0,4.377688190733214,37935.486144557806,,37935.486144557806,37935.486144557806,31.85339990234375,,31.85339990234375,31.85339990234375,2423.0,,2423.0,2423.0,4.377688190733214,,4.377688190733214,4.377688190733214
DESHPDHK0000lce9,V2,35,2,35082.54815367996,29.29836328125,2522.0,4.468176174784291,35082.54815367996,,35082.54815367996,35082.54815367996,29.29836328125,,29.29836328125,29.29836328125,2522.0,,2522.0,2522.0,4.468176174784291,,4.468176174784291,4.468176174784291
DESHPDHK0000lce9,V2,35,3,34563.483265174895,29.0982607421875,2460.0,4.45439901222392,34563.483265174895,,34563.483265174895,34563.483265174895,29.0982607421875,,29.0982607421875,29.0982607421875,2460.0,,2460.0,2460.0,4.45439901222392,,4.45439901222392,4.45439901222392
DESHPDHK0000lce9,V2,35,4,37129.24608038074,31.01825537109375,2497.0,4.45095848185384,37129.24608038074,,37129.24608038074,37129.24608038074,31.01825537109375,,31.01825537109375,31.01825537109375,2497.0,,2497.0,2497.0,4.45095848185384,,4.45095848185384,4.45095848185384
DESHPDHK0000lce9,V2,36,1,47342.622487697816,35.41772705078125,2562.0,4.578151431615417,47342.622487697816,,47342.622487697816,47342.622487697816,35.41772705078125,,35.41772705078125,35.41772705078125,2562.0,,2562.0,2562.0,4.578151431615417,,4.578151431615417,4.578151431615417
DESHPDHK0000lce9,V2,36,2,43507.75043589902,35.206396484375,2682.0,4.691811780926285,43507.75043589902,,43507.75043589902,43507.75043589902,35.206396484375,,35.206396484375,35.206396484375,2682.0,,2682.0,2682.0,4.691811780926285,,4.691811780926285,4.691811780926285
DESHPDHK0000lce9,V2,44,1,91410.4853868,47.76009375,2234.0,4.333369293056133,91410.4853868,,91410.4853868,91410.4853868,47.76009375,,47.76009375,47.76009375,2234.0,,2234.0,2234.0,4.333369293056133,,4.333369293056133,4.333369293056133
DESHPDHK0000lce9,V2,32,2,72295.91924468732,43.70474609375,2404.0,3.892207413581856,72295.91924468732,,72295.91924468732,72295.91924468732,43.70474609375,,43.70474609375,43.70474609375,2404.0,,2404.0,2404.0,3.892207413581856,,3.892207413581856,3.892207413581856
