building_id,n_gt_regions,n_pred_regions,zone_count_diff,false_negatives,false_positives,region_recall,region_precision,topology_correct,n_gt_core_apartment_edges,n_pred_core_apartment_edges,n_missing_core_apartment_edges,n_extra_core_apartment_edges,mean_iou_overall,mean_iou_matched,mean_area_error,mean_centroid_distance,mean_fragmentation,diagnosis
6370,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.843761552,0.843761552,10.53803088580589,0.6168807174456592,2.0,Good geometric match
6599,6,6,0,1,1,0.8333333333333334,0.8333333333333334,0.0,4,2,2,0,0.6125636492769919,0.7350763791323903,9.988753540412937,0.7176746290215616,1.8333333333333333,Structural mismatch
6676,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8843969846670524,0.8843969846670524,6.587575087,0.35049176,1.6666666666666667,Good geometric match
7299,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.818229558,0.818229558,7.271242877110997,0.5239449919446996,1.6666666666666667,Good geometric match
7343,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.7905358997356368,0.7905358997356368,20.217595526954355,0.6922889193417435,1.5,Good geometric match
7737,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.8572401436168855,0.8572401436168855,12.42841830493697,0.3923455787421551,1.3333333333333333,Good geometric match
7760,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9042427972249032,0.9042427972249032,11.819814900908996,0.128900252,1.0,Good geometric match
7792,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.8899825959096953,0.8899825959096953,4.498913895611358,0.08447995,1.6666666666666667,Good geometric match
7801,6,7,1,1,2,0.8333333333333334,0.7142857142857143,0.0,4,2,2,0,0.5866266408165765,0.7039519689798917,20.07310796756276,1.4211892876725702,1.6666666666666667,Over-zoned
7824,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.864546228,0.864546228,11.111965011451952,0.4636954567187525,2.0,Good geometric match
7869,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.6854581087168018,0.6854581087168018,9.26206395538742,0.805249477568804,1.8333333333333333,Moderate geometric match
7899,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8526875316722031,0.8526875316722031,17.257177583453835,0.3410676047847119,1.0,Good geometric match
7914,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.7050332882011031,0.7050332882011031,6.859056521753487,0.6623655525958203,1.6666666666666667,Good geometric match
7916,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.6915694124324098,0.6915694124324098,9.273451466187169,0.6763131493027362,1.8333333333333333,Moderate geometric match
8039,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.6539362035179276,0.6539362035179276,3.2041300476318377,0.784696934,2.333333333333333,Moderate geometric match
8202,4,4,0,0,0,1.0,1.0,1.0,3,3,0,0,0.5590362399743526,0.5590362399743526,7.437790389582357,0.8744383992486449,2.75,Moderate geometric match
8241,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.6923014491734955,0.6923014491734955,16.234783555764974,0.9156998362273212,2.0,Moderate geometric match
