base_building_group,building_id,variant,sample_id,seed,peak_heating_kW
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,13,1,50.45318237304687
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,13,2,49.04658251953125
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,19,2,31.31838623046875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,19,1,33.493329833984376
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,14,3,46.53329321289063
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,15,1,32.618919921875
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,15,2,30.373596801757813
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,15,3,29.79469006347656
DESHPDHK0000lce9,DESHPDHK0000lce9_4,V4,13,3,49.1005859375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,3,3,79.25741162109375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,0,3,81.2229384765625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,1,1,77.3221376953125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,1,2,77.170818359375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,3,1,79.26918505859375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,1,3,77.2912802734375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,8,1,86.35904345703125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,7,2,79.14506982421875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,7,3,79.2708701171875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,8,2,86.3619423828125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,8,3,86.3021845703125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,0,1,81.2480166015625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,7,1,79.27023486328125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,16,1,77.6200205078125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,11,3,81.04525048828125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,11,2,80.9626904296875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,18,3,78.70269677734375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,18,1,78.71514208984375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,17,3,90.10654833984376
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,17,2,90.3229931640625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,16,3,77.6032353515625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,16,2,77.467751953125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,17,1,90.3467373046875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,0,2,81.20177001953125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,12,3,94.007779296875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,12,2,94.18078369140623
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,12,1,94.2008896484375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,11,1,81.062669921875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,3,2,79.2745810546875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,18,2,78.6249306640625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,10,2,49.41336083984375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,5,2,50.355095947265625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,9,3,52.55758935546875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,9,1,54.5948515625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,6,3,49.86466259765625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,6,2,50.0460068359375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,6,1,51.188721923828126
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,5,3,50.55983154296875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,5,1,51.469424072265625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,2,3,44.807826171875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,4,1,51.78292626953125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,2,2,44.75893627929688
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,2,1,45.51193481445313
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,19,3,32.194200073242186
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,4,3,51.56746923828125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,4,2,51.53419702148437
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,10,1,51.0018408203125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,13,3,49.67376318359375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,10,3,49.38525415039062
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,13,1,50.9793466796875
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,13,2,49.62617407226563
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,14,3,47.545470703125
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,14,1,48.52202099609375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,19,1,33.68464599609375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,19,2,31.7038505859375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,15,1,32.9701962890625
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,15,2,30.843245727539063
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,15,3,31.866960571289063
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,9,2,52.4994599609375
DESHPDHK0000lce9,DESHPDHK0000lce9_7,V7,14,2,47.5877509765625
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,1,3,81.21305078125
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,0,3,84.07920068359375
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,1,1,81.241576171875
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,1,2,81.1052822265625
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,0,2,84.11568603515624
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,19,2,33.27504431152344
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,7,1,81.96591357421875
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,7,2,81.849837890625
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,7,3,81.96797314453126
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,3,3,82.217546875
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,8,1,89.42231396484375
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,3,2,82.2790537109375
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,3,1,82.26669482421875
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,0,1,84.1075732421875
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,18,1,81.70273779296875
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,11,1,84.41909423828125
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,11,3,84.3938154296875
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,12,1,95.28752197265624
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,12,2,95.2636494140625
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,12,3,95.089044921875
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,16,1,80.5334990234375
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,16,2,80.380541015625
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,16,3,80.51581103515625
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,17,1,91.71421337890624
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,17,2,91.69117333984374
