base_building_group,building_id,variant,sample_id,seed,overheating_hours_any_zone_gt_26C
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,7,1,174.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,7,2,209.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,7,3,178.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,3,3,177.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,8,1,199.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,3,2,185.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,3,1,145.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,0,1,213.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,18,1,66.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,11,1,125.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,11,3,124.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,12,1,168.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,12,2,195.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,12,3,193.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,16,1,211.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,16,2,228.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,16,3,231.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,17,1,113.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,17,2,140.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,17,3,134.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,8,3,218.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,8,2,186.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,11,2,98.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,9,3,2606.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,9,1,2578.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,19,3,2639.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,5,1,2591.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,6,1,2322.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,5,3,2639.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,5,2,2571.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,4,3,2427.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,18,2,81.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,4,1,2351.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,2,3,2401.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,2,2,2343.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,2,1,2331.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,6,2,2296.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,4,2,2405.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,6,3,2352.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,15,3,2824.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,9,2,2556.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,10,2,2354.0
DESHPDHK0000lce9,DESHPDHK0000lce9_8,V8,10,3,2354.0
