overall_json,variant,variant_base,building_id,weather_key,trajectory_id,point_id,changed_param,changed_dim,seed,x_unit_0,x_unit_1,x_unit_2,x_unit_3,x_unit_4,x_unit_5,x_unit_6,x_unit_7,x_unit_8,x_unit_9,heat_demand_kWh,cool_demand_kWh,peak_heat_kW,peak_cool_kW,x_unit_10,x_unit_11
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_04/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,4,tset_spread_K,3.0,1400,0.6000000000000001,0.6000000000000001,0.2,0.4000000000000001,0.4,0.6000000000000001,0.0,0.6000000000000001,0.8,0.2,191314.5476421814,0.0,56.5459296875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_05/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,5,UWin,8.0,1400,0.6000000000000001,0.6000000000000001,0.2,0.4000000000000001,0.4,0.6000000000000001,0.0,0.6000000000000001,0.6000000000000001,0.2,191286.91466807935,0.0,56.54538671875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_06/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,6,gWin,7.0,1400,0.6000000000000001,0.6000000000000001,0.2,0.4000000000000001,0.4,0.6000000000000001,0.0,0.4000000000000001,0.6000000000000001,0.2,192692.6834625244,0.0,56.573203125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_07/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,7,tset_mean_C,2.0,1400,0.6000000000000001,0.6000000000000001,0.4,0.4000000000000001,0.4,0.6000000000000001,0.0,0.4000000000000001,0.6000000000000001,0.2,197162.02313727717,0.0,57.0314609375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_08/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,8,yoc_shift,4.0,1400,0.6000000000000001,0.6000000000000001,0.4,0.4000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.4000000000000001,0.6000000000000001,0.2,197162.02313727717,0.0,57.0314609375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_09/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,9,baseACH,5.0,1400,0.6000000000000001,0.6000000000000001,0.4,0.4000000000000001,0.6000000000000001,0.8,0.0,0.4000000000000001,0.6000000000000001,0.2,205147.81752406692,0.0,59.770484375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_10/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,10,gains_scale,1.0,1400,0.6000000000000001,0.4000000000000001,0.4,0.4000000000000001,0.6000000000000001,0.8,0.0,0.4000000000000001,0.6000000000000001,0.2,206346.1178682251,0.0,59.84759375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_04/point_11/seed_1400/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,4,11,withAirCap,10.0,1400,1.0,0.8,0.4,0.6000000000000001,0.6000000000000001,0.2,0.8,0.6000000000000001,0.4,0.6000000000000001,165827.70541054534,0.0,52.6025,0.0,1.0,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_05/point_00/seed_1500/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,5,0,,,1500,0.6000000000000001,0.2,0.2,0.8,0.2,0.6000000000000001,0.6000000000000001,0.8,0.2,0.8,199763.13465326713,0.0,60.52819140625,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_05/point_01/seed_1500/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,5,1,tset_spread_K,3.0,1500,0.6000000000000001,0.2,0.2,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,0.8,0.2,0.8,199763.13465326713,0.0,60.52819140625,0.0,,
