variant,building_id,base_building_group,weather_key,sample_id,seed,run_dir,year,n_timesteps,dt_hours,n_zones,wwr_factor,gains_scale,weather_key_meta,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,annual_heating_kWh,peak_heating_kW,annual_cooling_kWh,peak_cooling_kW,mean_tair_C,max_tair_C,mean_tsetheat_C,overheating_hours_meanTair_gt_26C,underheating_hours_meanTair_below_meanTset,mean_interzone_spread_C,max_interzone_spread_C,overheating_hours_any_zone_gt_26C
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,6,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0006\seed_1,2021,8761,1.0,1,1.0659403426368128,1.082066151450534,TRY_B,5,294.55712551775713,1.7607089583956002,standard,True,182517.06952354885,65.564,0.0,0.0,21.75019835136945,27.517877197265648,21.409997558593716,36.0,2922.0,0.0,0.0,36.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,6,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0006\seed_2,2021,8761,1.0,1,1.0659403426368128,1.082066151450534,TRY_B,5,294.55712551775713,1.7607089583956002,standard,True,178392.86961891173,65.4517265625,0.0,0.0,21.76746604073853,27.761804199218773,21.409997558593716,50.0,2882.0,0.0,0.0,50.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,12,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_2,2021,8761,1.0,1,1.0214317602631984,1.0236828642981655,TRY_B,5,294.6250130173052,1.1492705082649117,standard,True,181924.48168466188,66.014375,0.0,0.0,21.80430639010291,27.589196777343716,21.48000488281252,31.0,3418.0,0.0,0.0,31.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,6,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0006\seed_3,2021,8761,1.0,1,1.0659403426368128,1.082066151450534,TRY_B,5,294.55712551775713,1.7607089583956002,standard,True,177867.22323987007,65.547109375,0.0,0.0,21.76457081744558,27.690057373046898,21.409997558593716,42.0,2915.0,0.0,0.0,42.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,8,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_1,2021,8761,1.0,1,1.0274964783811575,0.8559187992510631,TRY_B,5,294.3277485562038,1.5074822679197077,standard,True,181973.92362532328,63.59384765625,0.0,0.0,21.515303141786948,27.238366699218773,21.179986572265644,18.0,2183.0,0.0,0.0,18.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,8,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_2,2021,8761,1.0,1,1.0274964783811575,0.8559187992510631,TRY_B,5,294.3277485562038,1.5074822679197077,standard,True,178139.13592765617,63.4407109375,0.0,0.0,21.530713463286798,27.484460449218773,21.179986572265644,21.0,2170.0,0.0,0.0,21.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,8,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_3,2021,8761,1.0,1,1.0274964783811575,0.8559187992510631,TRY_B,5,294.3277485562038,1.5074822679197077,standard,True,177750.4185349989,63.55987890625,0.0,0.0,21.52774098290387,27.402459716796898,21.179986572265644,20.0,2157.0,0.0,0.0,20.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,8,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0008\seed_4,2021,8761,1.0,1,1.0274964783811575,0.8559187992510631,TRY_B,5,294.3277485562038,1.5074822679197077,standard,True,179493.82166806125,63.2091328125,0.0,0.0,21.54067314190622,27.660394287109398,21.179986572265644,32.0,2199.0,0.0,0.0,32.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,9,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0009\seed_1,2021,8761,1.0,1,0.8458120294143894,1.0673611847161886,TRY_B,5,294.16986718220073,1.7309759242710185,standard,True,180245.2985228386,61.652734375,0.0,0.0,21.315364349717072,26.588586425781273,21.020013427734394,6.0,4092.0,0.0,0.0,6.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,9,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0009\seed_2,2021,8761,1.0,1,0.8458120294143894,1.0673611847161886,TRY_B,5,294.16986718220073,1.7309759242710185,standard,True,176118.8645969162,61.5005625,0.0,0.0,21.332021144121963,26.969110107421898,21.020013427734394,9.0,4048.0,0.0,0.0,9.0
